account_id,algorithm,version,created_date,target_date
15213,hmm,none,2015-05-17,2015-05-16
18608,hmm,none,2015-05-18,2015-05-17
19708,hmm,none,2015-05-18,2015-05-15
19708,hmm,none,2015-05-18,2015-05-16
19708,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
19708,hmm,none,2015-05-18,2015-05-17
16435,hmm,none,2015-05-17,2015-05-15
16435,hmm,none,2015-05-17,2015-05-16
16435,hmm,none,2015-05-18,2015-05-17
19686,hmm,none,2015-05-16,2015-05-15
19686,hmm,none,2015-05-17,2015-05-16
16434,hmm,none,2015-05-16,2015-05-15
17534,hmm,none,2015-05-16,2015-05-15
17534,hmm,none,2015-05-17,2015-05-16
17534,hmm,none,2015-05-18,2015-05-17
16182,hmm,none,2015-05-17,2015-05-15
16182,hmm,none,2015-05-18,2015-05-16
18596,hmm,none,2015-05-17,2015-05-15
18596,hmm,none,2015-05-18,2015-05-16
18596,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
17520,hmm,none,2015-05-16,2015-05-15
17520,hmm,none,2015-05-17,2015-05-16
17520,hmm,none,2015-05-18,2015-05-17
19695,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
19695,hmm,none,2015-05-18,2015-05-16
19695,hmm,none,2015-05-18,2015-05-17
15230,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
16178,hmm,none,2015-05-18,2015-05-15
16178,hmm,none,2015-05-18,2015-05-16
18594,hmm,none,2015-05-18,2015-05-15
18594,hmm,none,2015-05-18,2015-05-16
18594,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
17525,hmm,none,2015-05-16,2015-05-15
17525,hmm,none,2015-05-18,2015-05-16
17525,hmm,none,2015-05-18,2015-05-17
15229,hmm,none,2015-05-16,2015-05-15
15229,hmm,none,2015-05-17,2015-05-16
15229,hmm,none,2015-05-18,2015-05-17
19605,hmm,none,2015-05-18,2015-05-17
1155,hmm,none,2015-05-16,2015-05-15
1155,hmm,none,2015-05-17,2015-05-16
1155,hmm,none,2015-05-18,2015-05-17
16451,hmm,none,2015-05-17,2015-05-15
16451,hmm,none,2015-05-17,2015-05-16
16452,hmm,none,2015-05-16,2015-05-15
18653,hmm,none,2015-05-18,2015-05-17
18654,hmm,none,2015-05-16,2015-05-15
18654,hmm,none,2015-05-17,2015-05-16
18655,hmm,none,2015-05-16,2015-05-15
18655,hmm,none,2015-05-18,2015-05-17
17413,hmm,none,2015-05-18,2015-05-16
17413,hmm,none,2015-05-18,2015-05-17
19613,hmm,none,2015-05-17,2015-05-15
19613,hmm,none,2015-05-17,2015-05-16
19609,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
18647,hmm,none,2015-05-18,2015-05-15
18647,hmm,none,2015-05-18,2015-05-17
16465,hmm,none,2015-05-16,2015-05-15
16465,hmm,none,2015-05-17,2015-05-16
17438,hmm,none,2015-05-18,2015-05-17
18634,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
18634,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
18634,hmm,none,2015-05-18,2015-05-17
17432,hmm,none,2015-05-18,2015-05-17
19584,hmm,none,2015-05-18,2015-05-15
19584,hmm,none,2015-05-18,2015-05-16
18638,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
15132,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
15132,hmm,none,2015-05-18,2015-05-17
17429,hmm,none,2015-05-17,2015-05-15
17429,hmm,none,2015-05-18,2015-05-16
17429,hmm,none,2015-05-18,2015-05-17
18625,hmm,none,2015-05-18,2015-05-15
18625,hmm,none,2015-05-18,2015-05-16
16479,hmm,none,2015-05-16,2015-05-15
19595,hmm,none,2015-05-16,2015-05-15
19595,hmm,none,2015-05-18,2015-05-16
16215,hmm,none,2015-05-17,2015-05-15
16215,hmm,none,2015-05-18,2015-05-16
16215,hmm,none,2015-05-18,2015-05-17
16478,hmm,none,2015-05-16,2015-05-15
16478,hmm,none,2015-05-18,2015-05-16
16478,hmm,none,2015-05-18,2015-05-17
18682,hmm,none,2015-05-18,2015-05-16
18682,hmm,none,2015-05-18,2015-05-17
18681,hmm,none,2015-05-16,2015-05-15
18681,hmm,none,2015-05-17,2015-05-16
18681,hmm,none,2015-05-18,2015-05-17
17450,hmm,none,2015-05-18,2015-05-17
19634,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
19634,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
19634,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
17451,hmm,none,2015-05-16,2015-05-15
17451,hmm,none,2015-05-17,2015-05-16
17451,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
18674,hmm,none,2015-05-16,2015-05-15
18674,hmm,none,2015-05-17,2015-05-16
18674,hmm,none,2015-05-18,2015-05-17
16248,hmm,none,2015-05-18,2015-05-15
16248,hmm,none,2015-05-18,2015-05-16
16248,hmm,none,2015-05-18,2015-05-17
19620,hmm,none,2015-05-18,2015-05-17
18664,hmm,none,2015-05-18,2015-05-17
15154,hmm,none,2015-05-18,2015-05-15
15154,hmm,none,2015-05-18,2015-05-16
18671,hmm,none,2015-05-18,2015-05-15
18671,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
18671,hmm,none,2015-05-18,2015-05-16
18671,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
19618,hmm,none,2015-05-17,2015-05-15
19618,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
19618,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
15155,hmm,none,2015-05-16,2015-05-15
15155,hmm,none,2015-05-18,2015-05-16
15155,hmm,none,2015-05-18,2015-05-17
19617,hmm,none,2015-05-16,2015-05-15
19617,hmm,none,2015-05-17,2015-05-16
17464,hmm,none,2015-05-16,2015-05-15
17464,hmm,none,2015-05-18,2015-05-17
19629,hmm,none,2015-05-18,2015-05-17
1215,hmm,none,2015-05-18,2015-05-15
1215,hmm,none,2015-05-18,2015-05-16
1215,hmm,none,2015-05-18,2015-05-17
19625,hmm,none,2015-05-17,2015-05-15
19625,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
15160,hmm,none,2015-05-16,2015-05-15
19624,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
19624,hmm,none,2015-05-18,2015-05-16
