date,event_type,account_id,algorithm,delta,version
2015-05-17,IN_BED,19989,hmm,31,none
2015-05-17,SLEEP,18609,hmm,227,none
2015-05-17,IN_BED,19306,hmm,51,none
2015-05-17,OUT_OF_BED,18916,hmm,-10,none
2015-05-17,OUT_OF_BED,19989,hmm,10,none
2015-05-17,SLEEP,20521,hmm,-69,none
2015-05-17,WAKE_UP,19498,hmm,23,none
2015-05-17,OUT_OF_BED,19301,hmm,41,none
2015-05-17,WAKE_UP,18960,hmm,93,none
2015-05-17,IN_BED,18886,hmm,60,none
2015-05-17,OUT_OF_BED,19354,wupang,31,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,19586,hmm,40,none
2015-05-17,WAKE_UP,19354,wupang,74,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,19586,hmm,-43,none
2015-05-17,OUT_OF_BED,1215,hmm,-38,none
2015-05-17,WAKE_UP,15294,hmm,50,none
2015-05-17,WAKE_UP,19586,hmm,-15,none
2015-05-17,OUT_OF_BED,15294,hmm,20,none
2015-05-17,OUT_OF_BED,20206,hmm,60,none
2015-05-17,WAKE_UP,18067,hmm,75,none
2015-05-17,IN_BED,17338,hmm,165,none
2015-05-17,OUT_OF_BED,15348,hmm,10,none
2015-05-17,OUT_OF_BED,18067,hmm,28,none
2015-05-17,OUT_OF_BED,16435,hmm,30,none
2015-05-17,OUT_OF_BED,20134,hmm,60,none
2015-05-17,WAKE_UP,19356,hmm,60,none
2015-05-17,OUT_OF_BED,17618,hmm,-107,none
2015-05-17,OUT_OF_BED,19356,hmm,8,none
2015-05-17,WAKE_UP,17618,hmm,-83,none
2015-05-17,OUT_OF_BED,17618,hmm,-110,none
2015-05-17,WAKE_UP,18444,hmm,60,none
2015-05-17,WAKE_UP,16435,hmm,25,none
2015-05-17,WAKE_UP,1218,hmm,45,none
2015-05-17,OUT_OF_BED,1218,hmm,14,none
2015-05-17,IN_BED,20188,hmm,45,none
2015-05-17,OUT_OF_BED,18161,hmm,6,none
2015-05-17,OUT_OF_BED,18396,wupang,53,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,18161,hmm,-46,none
2015-05-17,WAKE_UP,1498,hmm,44,none
2015-05-17,SLEEP,17542,hmm,119,none
2015-05-17,WAKE_UP,18161,hmm,-15,none
2015-05-17,OUT_OF_BED,1498,hmm,22,none
2015-05-17,OUT_OF_BED,15070,hmm,48,none
2015-05-17,OUT_OF_BED,16982,hmm,10,none
2015-05-17,WAKE_UP,16982,hmm,23,none
2015-05-17,IN_BED,16724,hmm,149,none
2015-05-17,OUT_OF_BED,16724,hmm,40,none
2015-05-17,OUT_OF_BED,19912,wupang,20,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,19912,wupang,20,wupang_backup_for_hmm
2015-05-17,WAKE_UP,1812,hmm,95,none
2015-05-17,WAKE_UP,19793,hmm,11,none
2015-05-17,IN_BED,17245,hmm,33,none
2015-05-17,IN_BED,17905,wupang,145,wupang_backup_for_hmm
2015-05-17,SLEEP,17905,wupang,149,wupang_backup_for_hmm
2015-05-17,SLEEP,17805,hmm,68,none
2015-05-17,OUT_OF_BED,15821,hmm,-30,none
2015-05-17,IN_BED,18091,hmm,105,none
2015-05-17,SLEEP,15821,hmm,63,none
2015-05-17,SLEEP,18091,hmm,120,none
2015-05-17,SLEEP,18091,hmm,120,none
2015-05-17,IN_BED,19395,hmm,38,none
2015-05-17,WAKE_UP,20200,hmm,142,none
2015-05-17,IN_BED,20200,hmm,572,none
2015-05-17,SLEEP,19395,hmm,110,none
2015-05-17,OUT_OF_BED,16064,hmm,14,none
2015-05-17,WAKE_UP,15302,hmm,54,none
2015-05-17,OUT_OF_BED,15302,hmm,10,none
2015-05-17,SLEEP,18620,hmm,0,none
2015-05-17,IN_BED,17005,hmm,103,none
2015-05-17,OUT_OF_BED,18690,hmm,14,none
2015-05-17,OUT_OF_BED,19360,hmm,236,none
2015-05-17,WAKE_UP,1566,hmm,0,none
2015-05-17,OUT_OF_BED,18576,hmm,120,none
2015-05-17,WAKE_UP,1566,hmm,0,none
2015-05-17,WAKE_UP,19600,wupang,300,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,17362,hmm,125,none
2015-05-17,OUT_OF_BED,16931,hmm,12,none
2015-05-17,OUT_OF_BED,1698,hmm,13,none
2015-05-17,SLEEP,16967,hmm,8,none
2015-05-17,SLEEP,18620,hmm,-15,none
2015-05-17,WAKE_UP,17785,hmm,36,none
2015-05-17,OUT_OF_BED,17785,hmm,4,none
2015-05-17,OUT_OF_BED,1566,hmm,14,none
2015-05-17,WAKE_UP,16931,hmm,107,none
2015-05-17,OUT_OF_BED,17362,hmm,10,none
2015-05-17,IN_BED,19629,hmm,46,none
2015-05-17,SLEEP,18620,hmm,44,none
2015-05-17,SLEEP,18620,hmm,15,none
2015-05-17,IN_BED,16486,wupang,-201,wupang_backup_for_hmm
2015-05-17,SLEEP,16486,wupang,-120,wupang_backup_for_hmm
2015-05-17,WAKE_UP,19979,hmm,32,none
2015-05-17,OUT_OF_BED,19979,hmm,29,none
2015-05-17,OUT_OF_BED,16372,hmm,130,none
2015-05-16,IN_BED,17720,hmm,120,none
2015-05-16,SLEEP,17720,hmm,120,none
2015-05-17,SLEEP,17005,hmm,119,none
2015-05-17,SLEEP,18977,hmm,0,none
2015-05-17,SLEEP,19228,hmm,120,none
2015-05-17,IN_BED,16476,hmm,135,none
2015-05-17,WAKE_UP,17005,hmm,27,none
2015-05-17,IN_BED,17697,hmm,45,none
2015-05-17,WAKE_UP,19477,hmm,183,none
2015-05-17,OUT_OF_BED,19477,hmm,180,none
2015-05-17,WAKE_UP,19785,hmm,147,none
2015-05-17,OUT_OF_BED,19785,hmm,181,none
2015-05-17,IN_BED,19477,hmm,38,none
2015-05-17,IN_BED,19799,hmm,49,none
2015-05-17,SLEEP,19799,hmm,60,none
2015-05-17,OUT_OF_BED,19214,hmm,139,none
2015-05-17,IN_BED,20411,hmm,660,none
2015-05-17,WAKE_UP,19600,wupang,242,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,17384,hmm,11,none
2015-05-17,WAKE_UP,17384,hmm,35,none
2015-05-17,SLEEP,18205,hmm,831,none
2015-05-17,IN_BED,18787,wupang,0,wupang_backup_for_hmm
2015-05-17,IN_BED,18778,hmm,167,none
2015-05-17,OUT_OF_BED,19762,hmm,103,none
2015-05-17,SLEEP,18778,hmm,145,none
2015-05-17,OUT_OF_BED,19762,hmm,60,none
2015-05-17,SLEEP,17384,hmm,-33,none
2015-05-17,OUT_OF_BED,18940,wupang,16,wupang_backup_for_hmm
2015-05-17,WAKE_UP,18940,wupang,-7,wupang_backup_for_hmm
2015-05-17,WAKE_UP,18778,hmm,6,none
2015-05-17,OUT_OF_BED,18778,hmm,18,none
2015-05-17,WAKE_UP,20342,hmm,-134,none
2015-05-17,OUT_OF_BED,19528,hmm,14,none
2015-05-17,OUT_OF_BED,18961,hmm,19,none
2015-05-17,WAKE_UP,18927,wupang,300,wupang_backup_for_hmm
2015-05-17,IN_BED,18474,wupang,215,wupang_backup_for_hmm
2015-05-17,WAKE_UP,17418,hmm,30,none
2015-05-17,OUT_OF_BED,17418,hmm,10,none
2015-05-17,SLEEP,18474,wupang,224,wupang_backup_for_hmm
2015-05-17,IN_BED,18927,wupang,60,wupang_backup_for_hmm
2015-05-17,IN_BED,17962,wupang,103,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,1731,hmm,8,none
2015-05-17,WAKE_UP,1731,hmm,-1,none
2015-05-17,SLEEP,18079,hmm,-40,none
2015-05-17,WAKE_UP,19658,hmm,120,none
2015-05-16,WAKE_UP,19658,hmm,-60,none
2015-05-16,OUT_OF_BED,19658,hmm,-60,none
2015-05-17,OUT_OF_BED,17794,hmm,20,none
2015-05-17,IN_BED,19089,hmm,60,none
2015-05-17,WAKE_UP,17498,hmm,168,none
2015-05-17,OUT_OF_BED,19409,hmm,-144,none
2015-05-17,WAKE_UP,17794,hmm,21,none
2015-05-17,IN_BED,15098,hmm,88,none
2015-05-17,SLEEP,15098,hmm,90,none
2015-05-17,OUT_OF_BED,17105,hmm,9,none
2015-05-17,OUT_OF_BED,19020,hmm,-11,none
2015-05-17,OUT_OF_BED,19633,hmm,4,none
2015-05-17,OUT_OF_BED,20477,hmm,37,none
2015-05-17,OUT_OF_BED,15159,hmm,51,none
2015-05-17,WAKE_UP,15159,hmm,84,none
2015-05-17,OUT_OF_BED,20529,hmm,72,none
2015-05-17,IN_BED,19266,hmm,148,none
2015-05-17,OUT_OF_BED,20117,hmm,19,none
2015-05-17,IN_BED,18453,hmm,77,none
2015-05-17,SLEEP,18453,hmm,104,none
2015-05-17,OUT_OF_BED,17816,hmm,43,none
2015-05-17,WAKE_UP,19578,hmm,50,none
2015-05-17,OUT_OF_BED,19578,hmm,8,none
2015-05-17,OUT_OF_BED,1395,hmm,83,none
2015-05-17,WAKE_UP,19449,hmm,5,none
2015-05-17,WAKE_UP,19259,hmm,60,none
